artistName,trackName,total_mins_played,total_streams
Macseal,Next to You,19.09,17
Maggie Rogers,Light On,48.64,17
Modern Baseball,Alpha Kappa Fall Of Troy The Movie Part Deux (2 Disc Director's Cut),27.41,17
Modern Baseball,"Apple Cider, I Don't Mind",31.06,17
Modern Baseball,Charlie Black,25.19,17
Modern Baseball,The Weekend,41.99,17
Modern Baseball,Timmy Bowers,13.57,17
Neck Deep,In Bloom,49.2,17
Peach Pit,Alrighty Aphrodite,49.29,17
Phoebe Bridgers,Savior Complex,48.21,17
Pinegrove,Dotted Line,56.76,17
Pinegrove,Spiral,10.97,17
SZA,Ghost in the Machine (feat. Phoebe Bridgers),44.73,17
Sad Cops,Flashback,21.98,17
"Slaughter Beach, Dog",Friend Song,24.36,17
Taylor Swift,mirrorball,29.19,17
The 1975,Facedown,34.22,17
The 1975,Guys,51.06,17
The 1975,I Couldn't Be More In Love,42.87,17
The 1975,Pressure,34.73,17
The 1975,Shiny Collarbone,29.38,17
The 1975,So Far (It's Alright),60.94,17
The 1975,Woman,23.51,17
The Front Bottoms,Summer Shandy,29.51,17
The Paper Kites,Bloom - Bonus Track,35.55,17
The Undercover Dream Lovers,Come Home,65.26,17
"Tyler, The Creator",ARE WE STILL FRIENDS?,38.65,17
"Tyler, The Creator",MOMMA TALK,9.42,17
Alvvays,After The Earthquake,28.23,16
Beach Bunny,Cloud 9,38.74,16
Frank Ocean,Biking,62.96,16
José González,Step Out,55.73,16
Joyce Manor,Heated Swimming Pool,11.42,16
Joyce Manor,Schley,23.72,16
Mammals,Move Slower,14.12,16
Modern Baseball,Coals,23.94,16
Modern Baseball,Cooke,33.97,16
Peach Pit,Shampoo Bottles,45.16,16
Pinegrove,The Metronome,51.41,16
PinkPantheress,Do you miss me?,19.74,16
"Slaughter Beach, Dog",Essex Street,22.4,16
Snowing,So I Shotgunned a Beer and Went to Bed,41.97,16
Still Woozy,Foolsong,37.01,16
Still Woozy,Wolfcat,25.8,16
The 1975,Sex - EP Version,28.7,16
The 1975,You,54.17,16
The Book Club,Pursuit of Happiness,23.32,16
The Front Bottoms,Peach,21.76,16
The Undercover Dream Lovers,Let Go,37.14,16
dad sports,nrvs again,44.62,16
girl in red,.,41.91,16
girl in red,I'll Call You Mine,33.96,16
Alvvays,Belinda Says,29.48,15
Aly & AJ,Slow Dancing - Hazel English Remix,29.91,15
CBMC,Philadelphia II,19.09,15
Daughter,Youth,39.54,15
Emperor X,Allahu Akbar,53.39,15
Frank Ocean,Lost,49.58,15
Golden Vessel,besides you,27.2,15
Lorde,Ribs,51.83,15
Maggie Rogers,Fallingwater,28.5,15
Modern Baseball,Breathing In Stereo,23.37,15
Modern Baseball,I Think You Were in My Profile Picture Once,16.02,15
Modern Baseball,Tears Over Beers,31.02,15
Modest Mouse,Float On,27.4,15
No Vacation,Dræm Girl,47.87,15
Panucci's Pizza,Naruto Themed Sexting,27.65,15
Paramore,This Is Why,38.75,15
Peach Pit,Drop the Guillotine,34.81,15
"Slaughter Beach, Dog",Song for Oscar's,46.7,15
Still Woozy,Maybe She,25.21,15
Taylor Swift,Style,58.18,15
Taylor Swift,the last great american dynasty,36.08,15
The 1975,How To Draw / Petrichor,26.9,15
The Front Bottoms,Father,32.38,15
The Jungle Giants,She's a Riot,22.98,15
"Tyler, The Creator",RISE! (feat. DAISY WORLD),39.82,15
sports.,I Love to Be Chill,28.11,15
Bleachers,Rollercoaster,19.49,14
Clairo,4EVER,25.68,14
Clairo,Just For Today,32.18,14
Dayglow,False Direction,42.21,14
Edward Sharpe & The Magnetic Zeros,Home - 2019 - Remaster,33.24,14
Faye Webster,Right Side of My Neck,29.33,14
Free Throw,Two Beers In,11.82,14
GoldLink,"Evian (feat. PinkPantheress, Rizloski & Rax)",2.91,14
Hovvdy,Hide,13.42,14
Japanese Breakfast,"Kokomo, IN",36.6,14
Modern Baseball,Look Out,8.67,14
Modern Baseball,Re-Done,35.61,14
Modern Baseball,Revenge Of The Nameless Ranger,16.62,14
Modern Baseball,What If...,22.49,14
Mom Jeans.,*Sobs Quietly*,12.43,14
Mom Jeans.,Poor Boxer Shorts,34.25,14
My Chemical Romance,Helena,37.27,14
Peach Pit,Look Out!,27.36,14
Phoebe Bridgers,Friday I’m In Love - Recorded at Spotify Studios NYC,15.02,14
Pinegrove,Flora,25.92,14
Sad Cops,Best Friends,19.18,14
Sarcastic Sounds,Wish You Were Mine,16.42,14
Sir Chloe,Sedona,33.17,14
Taylor Swift,Blank Space,38.03,14
Taylor Swift,my tears ricochet,37.4,14
The 1975,By Your Side,16.9,14
The 1975,Is There Somebody Who Can Watch You,20.42,14
The 1975,The Man Who Married A Robot / Love Theme,5.65,14
The Front Bottoms,Jim Bogart,32.04,14
The Front Bottoms,Rhode Island,34.78,14
The Temper Trap,Sweet Disposition,39.7,14
Turnover,Pure Devotion,35.26,14
"Tyler, The Creator",I DON'T LOVE YOU ANYMORE,24.8,14
"Tyler, The Creator",JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),22.84,14
fanclubwallet,C'mon Be Cool,39.47,14
sports.,"Words That Rhyme With Different, Etc.",23.89,14
American Football,The Summer Ends,49.66,13
Cayetana,Age of Consent (New Order),41.53,13
Clairo,Softly,29.53,13
Far Caspian,Warning Sign - Alt Version,12.8,13
Faye Webster,In A Good Way,43.98,13
Frank Ocean,Novacane,48.4,13
HalfNoise,As U Wave,46.85,13
Just Friends,Fever,26.37,13
Modern Baseball,Hiding,32.34,13
Modern Baseball,The Waterboy Returns,29.09,13
Mom Jeans.,Scott Pilgrim vs. My GPA,21.8,13
Nico Segal,Sunday Candy,13.55,13
Phoebe Bridgers,That Funny Feeling,60.34,13
Phoebe Bridgers,Waiting Room,56.74,13
Pinegrove,Phase,22.75,13
Pinegrove,Problems,9.62,13
Sleep Podcast by Slow | Relaxing Sleep Sounds To Help You Sleep | Nature Sounds For Sleep | ASMR,THUNDER & HEAVY RAIN FOR SLEEP - Feel free to comment on your sound ideas in a review.,510.06,13
Still Woozy,BS,24.4,13
Taylor Swift,cardigan,41.88,13
Taylor Swift,seven,34.23,13
The 1975,Having No Head,40.86,13
The 1975,I Like America & America Likes Me,19.95,13
The 1975,Inside Your Mind,16.32,13
The 1975,Intro / Set3,34.47,13
The 1975,Then Because She Goes,22.12,13
The Front Bottoms,Hooped Earings,45.05,13
The Front Bottoms,Lone Star,43.27,13
The Front Bottoms,Skeleton,33.81,13
The Front Bottoms,Trampoline,17.81,13
The Front Bottoms,West Virginia,39.72,13
The Smiths,This Charming Man - 2011 Remaster,29.48,13
The Undercover Dream Lovers,Good Luck,41.16,13
The Undercover Dream Lovers,I Don't Know Your Name,31.37,13
Turnover,What Got In The Way,30.54,13
"Tyler, The Creator",BLESSED,11.45,13
"Tyler, The Creator",Garden Shed (feat. Estelle),34.21,13
"Tyler, The Creator",Glitter,32.02,13
"Tyler, The Creator",Who Dat Boy (feat. A$AP Rocky),25.32,13
fanclubwallet,Roadkill,22.46,13
American Football,My Instincts Are the Enemy,41.58,12
American Football,Stay Home,76.78,12
Bon Iver,For Emma,22.78,12
Cautious Clay,"Cheesin’ (with Cautious Clay, Remi Wolf, Still Woozy, Sophie Meiers, Claud, Melanie Faye, & HXNS)",20.26,12
Clairo,North,33.96,12
Clairo,Wade,25.09,12
Day Wave,Apartment Complex,27.13,12
Day Wave,Blue,30.18,12
Day Wave,Disguise,26.17,12
Japanese Breakfast,Be Sweet,32.65,12
Japanese Breakfast,Boyish,34.99,12
Japanese Breakfast,Paprika,23,12
José González,Head On,43.72,12
José González,Line Of Fire,30.71,12
Joyce Manor,Christmas Card,9.45,12
Joyce Manor,Victoria,14.14,12
Maggie Rogers,Say It,26.24,12
Men I Trust,Show Me How,28.06,12
Mim Jensen,Germaphobe,12.89,12
Mitski,Francis Forever,4.83,12
Modern Baseball,Hope,6.47,12
Mom Jeans.,Movember,18.65,12
Mom Jeans.,"Season 9, Ep. 2-3 - Audiotree Live Version",20.22,12
Nico,These Days,31.27,12
Of Monsters and Men,Dirty Paws,35.12,12
Of Monsters and Men,Mountain Sound,30.2,12
Paramore,Misery Business,29.75,12
Pet Symmetry,A Detailed and Poetic Physical Threat to the Person Who Intentionally Vandalized My 1994 Dodge Intrepid Behind Kate's Apartment,15.07,12
Phoebe Bridgers,DVD Menu,9.52,12
Pinegrove,"Morningtime (Amperland, NY)",33.18,12
Pinegrove,So What,15.42,12
PinkPantheress,Pain - LSDXOXO Remix,12.81,12
Pixies,Here Comes Your Man,20.39,12
Sidney Gish,Presumably Dead Arm (617 Sessions),35.68,12
Soccer Mommy,Scorpio Rising,30.35,12
Stereosity,Penguin Isle,13.17,12
Surf Curse,Freaks,24.06,12
Taylor Swift,Lover,12.76,12
Taylor Swift,illicit affairs,22.8,12
Taylor Swift,mad woman,26.59,12
The 1975,Anobrain,15.24,12
The 1975,If I Believe You,47.56,12
The 1975,Lostmyhead,42.56,12
The 1975,Loving Someone,41.6,12
The 1975,M.O.N.E.Y.,28.65,12
The 1975,Medicine,51.8,12
The 1975,Mine,21.79,12
The 1975,Nothing Revealed / Everything Denied,42.68,12
The 1975,Please Be Naked,36.59,12
The 1975,TOOTIMETOOTIMETOOTIME,21.09,12
The 1975,Talk!,20.88,12
The 1975,The City - EP Version,10.37,12
The Front Bottoms,Cough It Out,25.76,12
The Front Bottoms,Raining,16.66,12
The Front Bottoms,The Beers,38.83,12
The Front Bottoms,Wolfman,19.49,12
The Lumineers,Ophelia,20.96,12
The Mowgli's,"Say It, Just Say It",26.11,12
The Postal Service,Such Great Heights - Remastered,42.26,12
Turnover,Curiosity,43.68,12
"Tyler, The Creator",November,27.77,12
Vansire,That I Miss You,23.05,12
carwash,"boyfriend, girlfriend",26.23,12
redveil,Campbell,9.83,12
Alvvays,Party Police,26.92,11
Beach Bunny,Good Girls (Don’t Get Used),28.43,11
Beach Bunny,Prom Queen,21.05,11
Bon Iver,33 “GOD”,27.8,11
COIN,Sagittarius Superstar (feat. Faye Webster),14.55,11
Clairo,Alewife,17.48,11
Clairo,Feel Something,14.39,11
